By Year,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,player_name,player_id
2024-25,LAL,31,34.7,112.8,113.9,-1.0,17.7,1.62,13.0,7.6,25.0,16.7,8.0,54.7,60.3,29.5,99.22,18.1,Anthony Edwards,16
2023-24,LAL,76,35.5,116.5,114.0,2.6,15.1,1.67,13.8,9.3,25.2,17.6,8.3,56.7,62.1,26.1,102.06,16.8,Anthony Edwards,16
2022-23,LAL,56,34.0,114.3,109.5,4.8,12.8,1.21,10.4,10.2,24.8,17.7,8.6,57.3,62.7,27.7,102.39,18.6,Anthony Edwards,16
2021-22,LAL,40,35.1,105.9,108.9,-3.0,14.7,1.49,12.2,7.2,19.6,13.4,8.2,54.2,57.8,26.3,101.79,15.9,Anthony Edwards,16
2020-21,LAL,36,32.3,112.5,107.4,5.2,15.4,1.49,12.4,5.4,19.8,12.5,8.3,51.2,55.6,28.7,99.29,15.3,Anthony Edwards,16
2019-20,LAL,62,34.4,111.3,106.4,5.0,15.3,1.3,12.0,6.5,19.7,13.1,9.3,53.6,61.0,28.4,102.47,17.9,Anthony Edwards,16
2018-19,NOP,56,33.0,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17.0,7.3,54.0,59.7,28.8,103.73,19.7,Anthony Edwards,16
2017-18,NOP,75,36.4,109.2,104.3,5.0,10.4,1.07,8.5,7.0,21.3,14.6,7.9,55.2,61.2,29.1,102.71,18.8,Anthony Edwards,16
2016-17,NOP,75,36.1,105.2,104.1,1.1,11.0,0.87,7.4,6.2,24.1,15.5,8.5,51.8,58.0,32.1,98.95,19.2,Anthony Edwards,16
2015-16,NOP,61,35.5,103.7,107.8,-4.1,10.0,0.96,7.5,5.9,23.4,14.5,7.8,50.8,55.9,29.0,98.35,16.5,Anthony Edwards,16
2014-15,NOP,68,36.1,109.9,103.8,6.1,10.9,1.57,9.1,7.2,21.5,14.4,5.8,53.6,59.1,27.2,93.4,19.2,Anthony Edwards,16
2013-14,NOP,67,35.2,106.6,108.7,-2.1,7.8,0.96,7.4,9.1,20.8,15.0,7.7,52.0,58.2,25.0,93.84,16.4,Anthony Edwards,16
2012-13,NOH,64,28.8,104.0,107.8,-3.8,6.0,0.71,6.8,9.4,21.3,15.2,9.6,51.6,55.9,21.2,91.04,13.5,Anthony Edwards,16
